,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.001,0,0.013000000000000001,0.012
1,1,0.001,5,0.025,0.024
2,2,0.001,10,0.012,0.011
3,3,0.012,10,0.022,0.01
4,4,0.001,20,0.008,0.007
5,5,0.001,25,0.018000000000000002,0.017
6,6,0.002,30,0.011000000000000001,0.009000000000000001
7,7,0.003,35,0.035,0.032
8,8,0.008,40,0.043000000000000003,0.035
9,9,0.001,45,0.006,0.005
10,10,0.001,50,0.013000000000000001,0.012
11,11,0.001,50,0.009000000000000001,0.008
12,12,0.001,55,0.02,0.019
13,13,0.001,65,0.013999999999999999,0.013
14,14,0.001,70,0.018000000000000002,0.017
15,15,0.001,75,0.013999999999999999,0.013
16,16,0.001,80,0.009999999999999998,0.009
17,17,0.001,80,0.004,0.003
18,18,0.001,90,0.011,0.01
19,19,0.001,90,0.005,0.004
20,20,0.001,100,0.004,0.003
21,21,0.001,105,0.011000000000000003,0.010000000000000002
22,22,0.001,110,0.004,0.003
23,23,0.001,115,0.005,0.004
24,24,0.001,120,0.004,0.003
25,25,0.001,125,0.004,0.003
26,26,0.002,130,0.017,0.015
27,27,0.001,135,0.004,0.003
28,28,0.002,140,0.005,0.003
29,29,0.002,145,0.005,0.003
30,30,0.002,150,0.005,0.003
31,31,0.001,155,0.004,0.003
32,32,0.001,155,0.005,0.004
33,33,0.006,165,0.017,0.011000000000000003
34,34,0.013999999999999999,170,0.016999999999999998,0.003
35,35,0.002,170,0.005,0.003
36,36,0.001,180,0.004,0.003
37,37,0.001,185,0.011,0.01
38,38,0.001,190,0.004,0.003
39,39,0.001,190,0.006,0.005
40,40,0.001,200,0.011,0.009999999999999998
