,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.003,0,0.013000000000000001,0.010000000000000002
1,1,0.001,5,0.028,0.027
2,2,0.001,10,0.008,0.007
3,3,0.001,15,0.010000000000000002,0.009000000000000001
4,4,0.001,20,0.024,0.023
5,5,0.001,25,0.008,0.007
6,6,0.001,30,0.007,0.006
7,7,0.001,35,0.033,0.032
8,8,0.001,40,0.026000000000000002,0.025
9,9,0.001,45,0.006,0.005
10,10,0.003,50,0.015,0.012
11,11,0.001,55,0.015,0.014
12,12,0.001,60,0.016,0.015
13,13,0.001,65,0.026000000000000002,0.025
14,14,0.003,70,0.023,0.02
15,15,0.002,75,0.014,0.012
16,16,0.001,80,0.004,0.003
17,17,0.001,85,0.004,0.003
18,18,0.001,90,0.004,0.003
19,19,0.002,95,0.005,0.003
20,20,0.001,100,0.004,0.003
21,21,0.002,105,0.012000000000000002,0.010000000000000002
22,22,0.002,110,0.005,0.003
23,23,0.001,115,0.004,0.003
24,24,0.001,120,0.004,0.003
25,25,0.002,125,0.005,0.003
26,26,0.002,130,0.017,0.015
27,27,0.001,135,0.004,0.003
28,28,0.002,140,0.005,0.003
29,29,0.001,145,0.004,0.003
30,30,0.002,150,0.005,0.003
31,31,0.001,155,0.004,0.003
32,32,0.001,160,0.004,0.003
33,33,0.002,165,0.013000000000000003,0.011000000000000003
34,34,0.001,170,0.004,0.003
35,35,0.001,175,0.004,0.003
36,36,0.001,180,0.004,0.003
37,37,0.002,185,0.005,0.003
38,38,0.002,190,0.005,0.003
39,39,0.001,195,0.006,0.005
40,40,0.001,200,0.011,0.009999999999999998
