,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0.001,0,0.011000000000000003,0.010000000000000002
1,1,1,0.001,0,0.028,0.027
2,2,2,0.001,5,0.008,0.007
3,3,3,0.001,10,0.010000000000000002,0.009000000000000001
4,4,4,0.001,15,0.024,0.023
5,5,5,0.001,20,0.008,0.007
6,6,6,0.001,25,0.007,0.006
7,7,7,0.001,30,0.033,0.032
8,8,8,0.001,35,0.026000000000000002,0.025
9,9,9,0.001,40,0.006,0.005
10,10,10,0.001,45,0.013000000000000001,0.012
11,11,11,0.002,50,0.016,0.014
12,12,12,0.004,55,0.019,0.015
13,13,13,0.001,60,0.026000000000000002,0.025
14,14,14,0.004,65,0.024,0.02
15,15,15,0.001,70,0.013000000000000001,0.012
16,16,16,0.003,75,0.006,0.003
17,17,17,0.001,80,0.004,0.003
18,18,18,0.002,85,0.005,0.003
19,19,19,0.002,90,0.005,0.003
20,20,20,0.001,95,0.004,0.003
21,21,21,0.002,100,0.012000000000000002,0.010000000000000002
22,22,22,0.002,105,0.005,0.003
23,23,23,0.002,110,0.005,0.003
24,24,24,0.001,115,0.004,0.003
25,25,25,0.002,120,0.005,0.003
26,26,26,0.001,125,0.016,0.015
27,27,27,0.002,130,0.005,0.003
28,28,28,0.006,135,0.009000000000000001,0.003
29,29,29,0.002,140,0.005,0.003
30,30,30,0.001,145,0.004,0.003
31,31,31,0.001,150,0.004,0.003
32,32,32,0.001,155,0.004,0.003
33,33,33,0.001,160,0.012000000000000004,0.011000000000000003
34,34,34,0.001,165,0.004,0.003
35,35,35,0.002,170,0.005,0.003
36,36,36,0.002,175,0.005,0.003
37,37,37,0.001,180,0.004,0.003
38,38,38,0.001,185,0.004,0.003
39,39,39,0.002,190,0.007,0.005
40,40,40,0.001,195,0.011,0.009999999999999998
