,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.002,0,0.003,0.001
1,1,0.001,5,0.002,0.001
2,2,0.008,10,0.009000000000000001,0.001
3,3,0.004,15,0.005,0.001
4,4,0.002,20,0.005,0.003
5,5,0.016,25,0.03,0.013999999999999999
6,6,0.001,30,0.006,0.005
7,7,0.003,35,0.023,0.02
8,8,0.015,40,0.02,0.005
9,9,0.003,45,0.008,0.005
10,10,0.004,50,0.008,0.004
11,11,0.004,55,0.007,0.003
12,12,0.001,60,0.008,0.006999999999999999
13,13,0.001,65,0.002,0.001
14,14,0.002,70,0.01,0.008
15,15,0.035,75,0.036000000000000004,0.001
16,16,0.001,80,0.002,0.001
17,17,0.002,85,0.003,0.001
18,18,0.001,90,0.002,0.001
19,19,0.001,95,0.004,0.003
20,20,0.001,100,0.002,0.001
21,21,0.001,105,0.003,0.002
22,22,0.017,110,0.029,0.012
23,23,0.001,115,0.002,0.001
24,24,0.001,120,0.002,0.001
25,25,0.001,125,0.002,0.001
26,26,0.001,130,0.002,0.001
27,27,0.001,135,0.002,0.001
28,28,0.001,140,0.002,0.001
29,29,0.001,145,0.002,0.001
30,30,0.001,150,0.005,0.004
31,31,0.002,155,0.003,0.001
32,32,0.001,160,0.002,0.001
33,33,0.002,165,0.011000000000000001,0.009000000000000001
34,34,0.002,170,0.003,0.001
35,35,0.004,175,0.005,0.001
36,36,0.002,180,0.003,0.001
37,37,0.002,185,0.003,0.001
38,38,0.001,190,0.011,0.01
39,39,0.001,195,0.011,0.01
40,40,0.001,200,0.003,0.002
