,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.002,0,0.003,0.001
1,1,0.001,5,0.002,0.001
2,2,0.001,10,0.002,0.001
3,3,0.012,15,0.013000000000000001,0.001
4,4,0.005,20,0.008,0.003
5,5,0.001,25,0.015,0.013999999999999999
6,6,0.013999999999999999,30,0.019,0.005
7,7,0.011000000000000001,35,0.031,0.02
8,8,0.01,40,0.015,0.005
9,9,0.003,45,0.008,0.005
10,10,0.03,50,0.034,0.004
11,11,0.01,55,0.013000000000000001,0.003
12,12,0.01,60,0.017,0.006999999999999999
13,13,0.011000000000000001,65,0.012,0.001
14,14,0.002,70,0.01,0.008
15,15,0.013999999999999999,75,0.015,0.001
16,16,0.001,80,0.002,0.001
17,17,0.001,85,0.002,0.001
18,18,0.001,90,0.002,0.001
19,19,0.011000000000000001,95,0.014000000000000002,0.003
20,20,0.001,100,0.002,0.001
21,21,0.001,105,0.003,0.002
22,22,0.001,110,0.013000000000000001,0.012
23,23,0.001,115,0.002,0.001
24,24,0.001,120,0.002,0.001
25,25,0.011000000000000001,125,0.012,0.001
26,26,0.001,130,0.002,0.001
27,27,0.001,135,0.002,0.001
28,28,0.001,140,0.002,0.001
29,29,0.001,145,0.002,0.001
30,30,0.001,150,0.005,0.004
31,31,0.001,155,0.002,0.001
32,32,0.001,160,0.002,0.001
33,33,0.001,165,0.010000000000000002,0.009000000000000001
34,34,0.001,170,0.002,0.001
35,35,0.009000000000000001,175,0.010000000000000002,0.001
36,36,0.001,180,0.002,0.001
37,37,0.001,185,0.002,0.001
38,38,0.001,190,0.011,0.01
39,39,0.001,195,0.011,0.01
40,40,0.001,200,0.003,0.002
