,RTT,Timestamp
0,0.001,0
1,0.003,5
2,0.009,10
3,0.003,15
4,0.01,20
5,0.001,25
6,0.002,30
7,0.001,35
8,0.003,40
9,0.008,45
10,0.002,50
11,0.002,55
12,0.001,60
13,0.003,65
14,0.003,70
15,0.001,75
16,0.001,80
17,0.001,85
18,0.001,90
19,0.016,95
20,0.001,100
21,0.001,105
22,0.001,110
23,0.001,115
24,0.001,120
25,0.001,125
26,0.001,130
27,0.001,135
28,0.001,140
29,0.001,145
30,0.002,150
31,0.001,155
32,0.001,160
33,0.001,165
34,0.01,170
35,0.001,175
36,0.032,180
37,0.001,185
38,0.005,190
39,0.001,195
40,0.001,200
