,RTT,Timestamp
0,0.002,0
1,0.001,5
2,0.001,10
3,0.003,15
4,0.002,20
5,0.017,25
6,0.001,30
7,0.019,35
8,0.001,40
9,0.001,45
10,0.037,50
11,0.018,55
12,0.004,60
13,0.002,65
14,0.001,70
15,0.008,75
16,0.001,80
17,0.002,85
18,0.021,90
19,0.002,95
20,0.001,100
21,0.001,105
22,0.026,110
23,0.003,115
24,0.002,120
25,0.002,125
26,0.003,130
27,0.001,135
28,0.001,140
29,0.001,145
30,0.002,150
31,0.001,155
32,0.011,160
33,0.001,165
34,0.014,170
35,0.001,175
36,0.001,180
37,0.002,185
38,0.002,190
39,0.002,195
40,0.002,200
