,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.001,0,0.004,0.003
1,1,0.003,5,0.005,0.002
2,2,0.001,10,0.003,0.002
3,3,0.017,15,0.030000000000000002,0.013000000000000001
4,4,0.001,20,0.009000000000000001,0.008
5,5,0.001,25,0.016,0.015
6,6,0.002,30,0.020999999999999998,0.019
7,7,0.002,35,0.033,0.031
8,8,0.001,40,0.016,0.015
9,9,0.003,45,0.011,0.008
10,10,0.002,50,0.036000000000000004,0.034
11,11,0.001,55,0.014000000000000002,0.013000000000000001
12,12,0.001,60,0.018000000000000002,0.017
13,13,0.004,65,0.016,0.012
14,14,0.001,70,0.011,0.01
15,15,0.002,75,0.017,0.015
16,16,0.001,80,0.003,0.002
17,17,0.001,85,0.003,0.002
18,18,0.002,90,0.004,0.002
19,19,0.002,95,0.016,0.014000000000000002
20,20,0.001,100,0.003,0.002
21,21,0.001,105,0.004,0.003
22,22,0.001,110,0.014000000000000002,0.013000000000000001
23,23,0.001,115,0.003,0.002
24,24,0.001,120,0.003,0.002
25,25,0.002,125,0.014,0.012
26,26,0.001,130,0.003,0.002
27,27,0.001,135,0.003,0.002
28,28,0.002,140,0.004,0.002
29,29,0.001,145,0.003,0.002
30,30,0.002,150,0.007,0.005
31,31,0.001,155,0.003,0.002
32,32,0.002,160,0.004,0.002
33,33,0.001,165,0.011000000000000003,0.010000000000000002
34,34,0.002,170,0.004,0.002
35,35,0.001,175,0.011000000000000003,0.010000000000000002
36,36,0.001,180,0.003,0.002
37,37,0.002,185,0.004,0.002
38,38,0.001,190,0.012,0.011
39,39,0.002,195,0.013,0.011
40,40,0.001,200,0.004,0.003
