,RTT,Timestamp
0,0.006,0
1,0.002,5
2,0.019,10
3,0.002,15
4,0.001,20
5,0.014,25
6,0.001,30
7,0.002,35
8,0.001,40
9,0.012,40
10,0.003,50
11,0.006,55
12,0.003,60
13,0.004,65
14,0.005,70
15,0.014,75
16,0.001,80
17,0.001,85
18,0.001,90
19,0.001,95
20,0.001,100
21,0.001,105
22,0.001,110
23,0.001,115
24,0.004,120
25,0.001,120
26,0.001,130
27,0.001,135
28,0.001,140
29,0.001,145
30,0.001,150
31,0.001,155
32,0.003,160
33,0.004,165
34,0.001,165
35,0.001,175
36,0.001,180
37,0.001,185
38,0.001,190
39,0.011,195
40,0.003,200
