,RTT,Timestamp
0,0.02,0
1,0.02,5
2,0.006,10
3,0.017,15
4,0.001,15
5,0.002,25
6,0.002,30
7,0.025,35
8,0.015,40
9,0.002,45
10,0.007,50
11,0.01,55
12,0.006,60
13,0.001,65
14,0.007,70
15,0.008,75
16,0.001,80
17,0.001,85
18,0.001,90
19,0.001,95
20,0.001,100
21,0.003,105
22,0.002,110
23,0.001,115
24,0.001,120
25,0.001,125
26,0.001,130
27,0.005,135
28,0.001,140
29,0.002,145
30,0.001,150
31,0.001,155
32,0.001,160
33,0.002,165
34,0.001,170
35,0.008,175
36,0.001,175
37,0.001,185
38,0.007,190
39,0.001,190
40,0.001,200
