,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.001,0,0.012,0.011
1,1,0.001,5,0.005,0.004
2,2,0.004,10,0.027000000000000003,0.023000000000000003
3,3,0.001,15,0.011000000000000003,0.010000000000000002
4,4,0.001,20,0.015,0.014
5,5,0.001,25,0.033,0.032
6,6,0.001,30,0.024,0.023
7,7,0.001,35,0.057999999999999996,0.056999999999999995
8,8,0.001,40,0.032,0.031
9,9,0.001,45,0.011000000000000003,0.010000000000000002
10,10,0.004,50,0.019000000000000003,0.015000000000000001
11,11,0.001,55,0.016,0.015
12,12,0.001,60,0.020000000000000004,0.019000000000000003
13,13,0.002,65,0.015000000000000001,0.013000000000000001
14,14,0.001,70,0.013999999999999999,0.013
15,15,0.002,75,0.04300000000000001,0.04100000000000001
16,16,0.001,80,0.005,0.004
17,17,0.001,85,0.006,0.005
18,18,0.001,90,0.010000000000000002,0.009000000000000001
19,19,0.001,95,0.007,0.006
20,20,0.001,100,0.005,0.004
21,21,0.002,105,0.007,0.005
22,22,0.001,110,0.032,0.031000000000000003
23,23,0.001,115,0.005,0.004
24,24,0.001,120,0.006,0.005
25,25,0.001,125,0.005,0.004
26,26,0.001,130,0.005,0.004
27,27,0.001,135,0.005,0.004
28,28,0.001,140,0.011,0.009999999999999998
29,29,0.001,145,0.005,0.004
30,30,0.001,150,0.008,0.007
31,31,0.001,155,0.007,0.006
32,32,0.002,160,0.006,0.004
33,33,0.001,165,0.014000000000000002,0.013000000000000001
34,34,0.001,170,0.006,0.005
35,35,0.002,175,0.009000000000000001,0.007
36,36,0.002,180,0.008,0.006
37,37,0.001,185,0.007,0.006
38,38,0.001,190,0.014000000000000002,0.013000000000000001
39,39,0.002,195,0.016,0.013999999999999999
40,40,0.001,200,0.006,0.005
