,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0,0.006,0,0.021,0.015000000000000001
1,1,1,1,0.011000000000000001,0,0.064,0.053000000000000005
2,2,2,2,0.006999999999999999,5,0.02,0.013000000000000001
3,3,3,3,0.011000000000000001,10,0.022,0.011
4,4,4,4,0.001,15,0.012,0.011
5,5,5,5,0.004,20,0.036000000000000004,0.032
6,6,6,6,0.005,25,0.015,0.01
7,7,7,7,0.018000000000000002,30,0.053000000000000005,0.035
8,8,8,8,0.001,35,0.036000000000000004,0.035
9,9,9,9,0.004,40,0.029,0.025
10,10,10,10,0.002,45,0.037000000000000005,0.035
11,11,11,11,0.001,50,0.018000000000000002,0.017
12,12,12,12,0.005,55,0.015000000000000003,0.010000000000000002
13,13,13,13,0.008,60,0.016,0.008
14,14,14,14,0.002,65,0.032,0.03
15,15,15,15,0.013999999999999999,70,0.052000000000000005,0.038000000000000006
16,16,16,16,0.001,75,0.005,0.004
17,17,17,17,0.001,80,0.007,0.006
18,18,18,18,0.001,85,0.006,0.005
19,19,19,19,0.001,90,0.008,0.007
20,20,20,20,0.001,95,0.005,0.004
21,21,21,21,0.001,100,0.007,0.006
22,22,22,22,0.001,105,0.033,0.032
23,23,23,23,0.002,110,0.006,0.004
24,24,24,24,0.01,115,0.014,0.004
25,25,25,25,0.006,120,0.01,0.004
26,26,26,26,0.002,125,0.020999999999999998,0.019
27,27,27,27,0.027000000000000003,130,0.031000000000000003,0.004
28,28,28,28,0.001,135,0.005,0.004
29,29,29,29,0.001,140,0.020000000000000004,0.019000000000000003
30,30,30,30,0.034,145,0.041,0.007
31,31,31,31,0.001,150,0.016,0.015
32,32,32,32,0.002,155,0.006,0.004
33,33,33,33,0.001,160,0.051000000000000004,0.05
34,34,34,34,0.003,165,0.008,0.005
35,35,35,35,0.002,170,0.009000000000000001,0.007
36,36,36,36,0.001,175,0.006,0.005
37,37,37,37,0.001,180,0.006,0.005
38,38,38,38,0.002,185,0.045,0.043
39,39,39,39,0.002,190,0.016,0.013999999999999999
40,40,40,40,0.001,195,0.007,0.006
