,RTT,Timestamp
0,0.014,0
1,0.018,5
2,0.001,10
3,0.008,15
4,0.003,20
5,0.001,25
6,0.001,30
7,0.004,35
8,0.002,40
9,0.001,45
10,0.006,50
11,0.037,55
12,0.002,60
13,0.007,65
14,0.003,70
15,0.002,75
16,0.001,80
17,0.001,85
18,0.001,90
19,0.015,95
20,0.001,100
21,0.001,105
22,0.001,110
23,0.001,115
24,0.001,120
25,0.003,125
26,0.001,130
27,0.001,135
28,0.001,140
29,0.001,145
30,0.001,150
31,0.01,155
32,0.001,160
33,0.001,165
34,0.001,170
35,0.001,175
36,0.007,180
37,0.001,185
38,0.001,190
39,0.001,195
40,0.001,200
