,RTT,Timestamp
0,0.001,0
1,0.02,5
2,0.005,10
3,0.001,15
4,0.003,20
5,0.002,25
6,0.006,30
7,0.005,35
8,0.019,40
9,0.006,45
10,0.008,50
11,0.007,55
12,0.001,60
13,0.005,65
14,0.006,70
15,0.003,75
16,0.001,80
17,0.001,85
18,0.001,90
19,0.004,95
20,0.001,100
21,0.001,105
22,0.002,110
23,0.001,115
24,0.001,120
25,0.001,125
26,0.001,130
27,0.01,135
28,0.003,140
29,0.001,145
30,0.007,150
31,0.003,155
32,0.001,160
33,0.018,165
34,0.001,170
35,0.012,175
36,0.001,180
37,0.002,185
38,0.001,190
39,0.001,195
40,0.001,200
