,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0,0.003,0,0.025,0.022000000000000002
1,1,1,1,0.002,0,0.07500000000000001,0.07300000000000001
2,2,2,2,0.002,5,0.023,0.021
3,3,3,3,0.002,15,0.028999999999999998,0.027
4,4,4,4,0.008,15,0.024,0.016
5,5,5,5,0.001,20,0.05700000000000001,0.05600000000000001
6,6,6,6,0.001,25,0.017,0.016
7,7,7,7,0.006999999999999999,30,0.061000000000000006,0.054000000000000006
8,8,8,8,0.006999999999999999,35,0.053000000000000005,0.046000000000000006
9,9,9,9,0.002,45,0.035,0.033
10,10,10,10,0.002,45,0.04300000000000001,0.04100000000000001
11,11,11,11,0.013999999999999999,50,0.047,0.033
12,12,12,12,0.002,55,0.026000000000000002,0.024000000000000004
13,13,13,13,0.002,65,0.019000000000000003,0.017
14,14,14,14,0.001,70,0.034,0.033
15,15,15,15,0.001,70,0.05700000000000001,0.05600000000000001
16,16,16,16,0.001,75,0.007,0.006
17,17,17,17,0.001,80,0.009000000000000001,0.008
18,18,18,18,0.001,90,0.008,0.007
19,19,19,19,0.001,95,0.042,0.041
20,20,20,20,0.001,95,0.007,0.006
21,21,21,21,0.001,105,0.009000000000000001,0.008
22,22,22,22,0.002,105,0.036000000000000004,0.034
23,23,23,23,0.001,110,0.008,0.007
24,24,24,24,0.001,115,0.017,0.016
25,25,25,25,0.002,120,0.013,0.011
26,26,26,26,0.002,130,0.025,0.023
27,27,27,27,0.002,130,0.035,0.033
28,28,28,28,0.001,135,0.007,0.006
29,29,29,29,0.001,145,0.022000000000000006,0.021000000000000005
30,30,30,30,0.002,145,0.044000000000000004,0.042
31,31,31,31,0.001,150,0.018000000000000002,0.017
32,32,32,32,0.002,155,0.01,0.008
33,33,33,33,0.001,160,0.053000000000000005,0.052000000000000005
34,34,34,34,0.001,165,0.010000000000000002,0.009000000000000001
35,35,35,35,0.001,170,0.011000000000000003,0.010000000000000002
36,36,36,36,0.001,180,0.008,0.007
37,37,37,37,0.002,180,0.009000000000000001,0.007
38,38,38,38,0.006,185,0.053,0.047
39,39,39,39,0.001,195,0.021,0.02
40,40,40,40,0.002,195,0.01,0.008
