,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0.006,0,0.04,0.034
1,1,1,0.001,5,0.07,0.069
2,2,2,0.004,10,0.033,0.029
3,3,3,0.006999999999999999,15,0.037,0.03
4,4,4,0.003,20,0.019,0.016
5,5,5,0.002,25,0.04000000000000001,0.038000000000000006
6,6,6,0.001,30,0.026000000000000002,0.025
7,7,7,0.003,35,0.069,0.066
8,8,8,0.011,40,0.065,0.054000000000000006
9,9,9,0.013,45,0.043000000000000003,0.030000000000000002
10,10,10,0.001,50,0.051000000000000004,0.05
11,11,11,0.001,55,0.026000000000000002,0.025
12,12,12,0.008,60,0.026000000000000002,0.018000000000000002
13,13,13,0.001,65,0.029,0.028
14,14,14,0.001,70,0.035,0.034
15,15,15,0.001,75,0.054000000000000006,0.053000000000000005
16,16,16,0.008,80,0.014,0.006
17,17,17,0.008,85,0.017,0.009000000000000001
18,18,18,0.001,90,0.008,0.007
19,19,19,0.001,95,0.010000000000000002,0.009000000000000001
20,20,20,0.001,100,0.007,0.006
21,21,21,0.002,105,0.01,0.008
22,22,22,0.001,110,0.038000000000000006,0.037000000000000005
23,23,23,0.002,115,0.009000000000000001,0.007
24,24,24,0.001,120,0.016,0.015
25,25,25,0.001,125,0.012,0.011
26,26,26,0.001,130,0.024,0.023
27,27,27,0.001,135,0.033,0.032
28,28,28,0.006999999999999999,140,0.013,0.006
29,29,29,0.002,145,0.023000000000000007,0.021000000000000005
30,30,30,0.001,150,0.043000000000000003,0.042
31,31,31,0.001,155,0.018000000000000002,0.017
32,32,32,0.001,160,0.008,0.007
33,33,33,0.001,165,0.053000000000000005,0.052000000000000005
34,34,34,0.001,170,0.027000000000000003,0.026000000000000002
35,35,35,0.001,175,0.011000000000000003,0.010000000000000002
36,36,36,0.004,180,0.017,0.013
37,37,37,0.002,185,0.009000000000000001,0.007
38,38,38,0.001,190,0.047,0.046
39,39,39,0.033,195,0.05,0.017
40,40,40,0.001,200,0.009000000000000001,0.008
