,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.001,0,0.018000000000000002,0.017
1,1,0.001,5,0.014000000000000002,0.013000000000000001
2,2,0.001,10,0.027000000000000003,0.026000000000000002
3,3,0.001,15,0.012,0.011
4,4,0.001,20,0.018000000000000002,0.017
5,5,0.002,25,0.006,0.004
6,6,0.001,30,0.016,0.015
7,7,0.005,35,0.034,0.029000000000000005
8,8,0.002,40,0.015000000000000001,0.013000000000000001
9,9,0.001,45,0.018000000000000002,0.017
10,10,0.001,50,0.013000000000000001,0.012
11,11,0.005,55,0.017,0.012
12,12,0.003,60,0.012,0.009000000000000001
13,13,0.026000000000000002,65,0.033,0.007
14,14,0.001,70,0.035,0.034
15,15,0.002,75,0.008,0.006
16,16,0.001,80,0.007,0.006
17,17,0.002,85,0.005,0.003
18,18,0.001,90,0.004,0.003
19,19,0.004,95,0.007,0.003
20,20,0.002,100,0.017,0.015000000000000001
21,21,0.001,105,0.011000000000000003,0.010000000000000002
22,22,0.001,110,0.004,0.003
23,23,0.002,115,0.011000000000000001,0.009000000000000001
24,24,0.001,120,0.005,0.004
25,25,0.001,125,0.005,0.004
26,26,0.001,130,0.011,0.01
27,27,0.001,135,0.004,0.003
28,28,0.002,140,0.005,0.003
29,29,0.001,145,0.021000000000000005,0.020000000000000004
30,30,0.001,150,0.005,0.004
31,31,0.002,155,0.008,0.006
32,32,0.002,160,0.006,0.004
33,33,0.001,165,0.004,0.003
34,34,0.001,170,0.009000000000000001,0.008
35,35,0.002,175,0.005,0.003
36,36,0.001,180,0.005,0.004
37,37,0.002,185,0.006,0.004
38,38,0.002,190,0.005,0.003
39,39,0.001,195,0.006,0.005
40,40,0.002,200,0.007,0.005
