,RTT,Timestamp
0,0.001,0
1,0.001,5
2,0.001,10
3,0.001,15
4,0.001,20
5,0.001,25
6,0.001,30
7,0.001,35
8,0.001,40
9,0.001,45
10,0.001,50
11,0.001,55
12,0.001,60
13,0.001,65
14,0.001,70
15,0.001,75
16,0.001,80
17,0.001,85
18,0.001,90
19,0.001,95
20,0.001,100
21,0.001,105
22,0.001,110
23,0.001,115
24,0.005,120
25,0.001,125
26,0.001,130
27,0.001,135
28,0.001,140
29,0.001,145
30,0.001,150
31,0.001,155
32,0.002,160
33,0.002,165
34,0.001,170
35,0.001,175
36,0.001,180
37,0.001,185
38,0.003,190
39,0.001,195
40,0.001,200
