,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0,0.004,0,0.018000000000000002,0.014000000000000002
1,1,1,1,0.001,0,0.05500000000000001,0.054000000000000006
2,2,2,2,0.006,5,0.017,0.011000000000000003
3,3,3,3,0.001,10,0.025,0.024
4,4,4,4,0.004,15,0.017,0.013000000000000001
5,5,5,5,0.003,25,0.036000000000000004,0.033
6,6,6,6,0.001,25,0.018000000000000002,0.017
7,7,7,7,0.005,35,0.039,0.034
8,8,8,8,0.005,35,0.046,0.041
9,9,9,9,0.001,45,0.016,0.015000000000000001
10,10,10,10,0.009000000000000001,45,0.031000000000000003,0.022000000000000002
11,11,11,11,0.001,55,0.018000000000000002,0.017
12,12,12,12,0.001,60,0.030000000000000002,0.029
13,13,13,13,0.004,65,0.012,0.008
14,14,14,14,0.001,70,0.024,0.023
15,15,15,15,0.001,70,0.051000000000000004,0.05
16,16,16,16,0.001,80,0.005,0.004
17,17,17,17,0.001,80,0.007,0.006
18,18,18,18,0.001,85,0.007,0.006
19,19,19,19,0.001,90,0.008,0.007
20,20,20,20,0.001,100,0.006,0.005
21,21,21,21,0.001,105,0.007,0.006
22,22,22,22,0.002,105,0.033,0.031000000000000003
23,23,23,23,0.001,110,0.005,0.004
24,24,24,24,0.002,115,0.006,0.004
25,25,25,25,0.001,125,0.006,0.005
26,26,26,26,0.001,125,0.014000000000000002,0.013000000000000001
27,27,27,27,0.001,135,0.006,0.005
28,28,28,28,0.002,140,0.007,0.005
29,29,29,29,0.008,140,0.02,0.012
30,30,30,30,0.002,145,0.01,0.008
31,31,31,31,0.001,150,0.016,0.015
32,32,32,32,0.002,155,0.006,0.004
33,33,33,33,0.002,165,0.04700000000000001,0.045000000000000005
34,34,34,34,0.002,170,0.007,0.005
35,35,35,35,0.001,170,0.008,0.007
36,36,36,36,0.001,175,0.007,0.006
37,37,37,37,0.001,180,0.006,0.005
38,38,38,38,0.001,190,0.044,0.043
39,39,39,39,0.002,190,0.016,0.013999999999999999
40,40,40,40,0.001,195,0.008,0.007
