,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.013000000000000001,0,0.017,0.004
1,1,0.005,5,0.013000000000000001,0.008
2,2,0.001,10,0.026000000000000002,0.025
3,3,0.005,15,0.011,0.006
4,4,0.001,20,0.017,0.016
5,5,0.002,25,0.004,0.002
6,6,0.003,30,0.015,0.012
7,7,0.001,35,0.029000000000000005,0.028000000000000004
8,8,0.004,40,0.013000000000000001,0.009000000000000001
9,9,0.011000000000000001,45,0.017,0.006
10,10,0.001,50,0.012,0.011
11,11,0.002,55,0.012,0.01
12,12,0.003,60,0.009000000000000001,0.006
13,13,0.005,65,0.007,0.002
14,14,0.026000000000000002,70,0.034,0.008
15,15,0.001,75,0.006,0.005
16,16,0.004,80,0.006,0.002
17,17,0.001,85,0.003,0.002
18,18,0.001,90,0.003,0.002
19,19,0.001,95,0.003,0.002
20,20,0.002,100,0.015000000000000001,0.013000000000000001
21,21,0.001,105,0.010000000000000002,0.009000000000000001
22,22,0.001,110,0.003,0.002
23,23,0.002,115,0.009000000000000001,0.007
24,24,0.001,120,0.004,0.003
25,25,0.001,125,0.004,0.003
26,26,0.002,130,0.01,0.008
27,27,0.001,135,0.003,0.002
28,28,0.001,140,0.003,0.002
29,29,0.018000000000000002,145,0.020000000000000004,0.002
30,30,0.002,150,0.004,0.002
31,31,0.004,155,0.006,0.002
32,32,0.002,160,0.004,0.002
33,33,0.001,165,0.003,0.002
34,34,0.005,170,0.008,0.003
35,35,0.001,175,0.003,0.002
36,36,0.002,180,0.004,0.002
37,37,0.002,185,0.004,0.002
38,38,0.001,190,0.003,0.002
39,39,0.001,195,0.005,0.004
40,40,0.001,200,0.005,0.004
