,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.006999999999999999,0,0.011,0.004
1,1,0.001,5,0.004,0.003
2,2,0.013000000000000001,10,0.023000000000000003,0.010000000000000002
3,3,0.001,15,0.010000000000000002,0.009000000000000001
4,4,0.002,20,0.014,0.012
5,5,0.001,25,0.032,0.031
6,6,0.008,30,0.023,0.015000000000000001
7,7,0.031,35,0.056999999999999995,0.026
8,8,0.01,40,0.031,0.021
9,9,0.001,45,0.010000000000000002,0.009000000000000001
10,10,0.006,50,0.015000000000000001,0.009000000000000001
11,11,0.006999999999999999,55,0.015,0.008
12,12,0.002,60,0.019000000000000003,0.017
13,13,0.01,65,0.013000000000000001,0.003
14,14,0.002,70,0.013,0.011
15,15,0.004,75,0.04100000000000001,0.037000000000000005
16,16,0.001,80,0.004,0.003
17,17,0.001,85,0.005,0.004
18,18,0.006,90,0.009000000000000001,0.003
19,19,0.001,95,0.006,0.005
20,20,0.001,100,0.004,0.003
21,21,0.001,105,0.005,0.004
22,22,0.001,110,0.031000000000000003,0.030000000000000002
23,23,0.001,115,0.004,0.003
24,24,0.001,120,0.005,0.004
25,25,0.001,125,0.004,0.003
26,26,0.001,130,0.004,0.003
27,27,0.001,135,0.004,0.003
28,28,0.001,140,0.009999999999999998,0.009
29,29,0.001,145,0.004,0.003
30,30,0.001,150,0.007,0.006
31,31,0.001,155,0.006,0.005
32,32,0.001,160,0.004,0.003
33,33,0.001,165,0.013000000000000001,0.012
34,34,0.001,170,0.005,0.004
35,35,0.001,175,0.007,0.006
36,36,0.002,180,0.006,0.004
37,37,0.001,185,0.006,0.005
38,38,0.001,190,0.013000000000000001,0.012
39,39,0.001,195,0.013999999999999999,0.013
40,40,0.001,200,0.005,0.004
