,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.012,0,0.016,0.004
1,1,0.004,0,0.007,0.003
2,2,0.051,10,0.061,0.010000000000000002
3,3,0.002,15,0.011000000000000001,0.009000000000000001
4,4,0.032,20,0.044,0.012
5,5,0.003,25,0.034,0.031
6,6,0.013999999999999999,30,0.028999999999999998,0.015000000000000001
7,7,0.013000000000000001,35,0.039,0.026
8,8,0.004,40,0.025,0.021
9,9,0.004,45,0.013000000000000001,0.009000000000000001
10,10,0.003,50,0.012,0.009000000000000001
11,11,0.006,55,0.014,0.008
12,12,0.016,60,0.033,0.017
13,13,0.003,65,0.006,0.003
14,14,0.003,70,0.013999999999999999,0.011
15,15,0.005,75,0.042,0.037000000000000005
16,16,0.003,80,0.006,0.003
17,17,0.003,85,0.007,0.004
18,18,0.018000000000000002,90,0.021,0.003
19,19,0.004,95,0.009000000000000001,0.005
20,20,0.003,100,0.006,0.003
21,21,0.003,105,0.007,0.004
22,22,0.003,110,0.033,0.030000000000000002
23,23,0.005,115,0.008,0.003
24,24,0.004,120,0.008,0.004
25,25,0.004,125,0.007,0.003
26,26,0.003,130,0.006,0.003
27,27,0.005,135,0.008,0.003
28,28,0.005,140,0.013999999999999999,0.009
29,29,0.003,145,0.006,0.003
30,30,0.004,150,0.01,0.006
31,31,0.003,155,0.008,0.005
32,32,0.004,160,0.007,0.003
33,33,0.004,165,0.016,0.012
34,34,0.033,170,0.037000000000000005,0.004
35,35,0.003,175,0.009000000000000001,0.006
36,36,0.004,180,0.008,0.004
37,37,0.004,185,0.009000000000000001,0.005
38,38,0.009000000000000001,190,0.021,0.012
39,39,0.008,195,0.020999999999999998,0.013
40,40,0.003,200,0.007,0.004
