,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0.013,0,0.034,0.021
1,1,1,0.005,5,0.069,0.064
2,2,2,0.009000000000000001,10,0.029,0.02
3,3,3,0.008,15,0.03,0.022
4,4,4,0.004,15,0.016,0.012
5,5,5,0.002,25,0.038000000000000006,0.036000000000000004
6,6,6,0.01,25,0.025,0.015
7,7,7,0.013,35,0.066,0.053000000000000005
8,8,8,0.018000000000000002,40,0.054000000000000006,0.036000000000000004
9,9,9,0.001,40,0.030000000000000002,0.029
10,10,10,0.013,50,0.05,0.037000000000000005
11,11,11,0.006999999999999999,55,0.025,0.018000000000000002
12,12,12,0.003,60,0.018000000000000002,0.015000000000000003
13,13,13,0.012,65,0.028,0.016
14,14,14,0.002,70,0.034,0.032
15,15,15,0.001,75,0.053000000000000005,0.052000000000000005
16,16,16,0.001,80,0.006,0.005
17,17,17,0.002,85,0.009000000000000001,0.007
18,18,18,0.001,85,0.007,0.006
19,19,19,0.001,95,0.009000000000000001,0.008
20,20,20,0.001,100,0.006,0.005
21,21,21,0.001,105,0.008,0.007
22,22,22,0.004,110,0.037000000000000005,0.033
23,23,23,0.001,115,0.007,0.006
24,24,24,0.001,120,0.015,0.014
25,25,25,0.001,125,0.011,0.01
26,26,26,0.002,130,0.023,0.020999999999999998
27,27,27,0.001,135,0.032,0.031000000000000003
28,28,28,0.001,135,0.006,0.005
29,29,29,0.001,145,0.021000000000000005,0.020000000000000004
30,30,30,0.001,150,0.042,0.041
31,31,31,0.001,155,0.017,0.016
32,32,32,0.001,160,0.007,0.006
33,33,33,0.001,165,0.052000000000000005,0.051000000000000004
34,34,34,0.018000000000000002,170,0.026000000000000002,0.008
35,35,35,0.001,175,0.010000000000000002,0.009000000000000001
36,36,36,0.006999999999999999,180,0.013,0.006
37,37,37,0.001,185,0.007,0.006
38,38,38,0.001,190,0.046,0.045
39,39,39,0.001,195,0.017,0.016
40,40,40,0.001,200,0.008,0.007
