,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.001,0,0.004,0.003
1,1,0.006999999999999999,5,0.008,0.001
2,2,0.023,10,0.025,0.002
3,3,0.001,15,0.006,0.005
4,4,0.011000000000000001,20,0.016,0.005
5,5,0.001,25,0.002,0.001
6,6,0.009000000000000001,30,0.012,0.003
7,7,0.001,35,0.028000000000000004,0.027000000000000003
8,8,0.008,40,0.009000000000000001,0.001
9,9,0.003,45,0.006,0.003
10,10,0.004,50,0.011,0.006999999999999999
11,11,0.006,55,0.01,0.004
12,12,0.005,60,0.006,0.001
13,13,0.001,65,0.002,0.001
14,14,0.006999999999999999,70,0.008,0.001
15,15,0.001,75,0.005,0.004
16,16,0.001,80,0.002,0.001
17,17,0.001,85,0.002,0.001
18,18,0.001,90,0.002,0.001
19,19,0.001,95,0.002,0.001
20,20,0.012,100,0.013000000000000001,0.001
21,21,0.001,105,0.009000000000000001,0.008
22,22,0.001,110,0.002,0.001
23,23,0.006,115,0.007,0.001
24,24,0.002,120,0.003,0.001
25,25,0.002,125,0.003,0.001
26,26,0.006999999999999999,130,0.008,0.001
27,27,0.001,135,0.002,0.001
28,28,0.001,140,0.002,0.001
29,29,0.001,145,0.002,0.001
30,30,0.001,150,0.002,0.001
31,31,0.001,155,0.002,0.001
32,32,0.001,160,0.002,0.001
33,33,0.001,165,0.002,0.001
34,34,0.002,170,0.003,0.001
35,35,0.001,180,0.002,0.001
36,36,0.001,185,0.002,0.001
37,37,0.001,190,0.002,0.001
38,38,0.001,195,0.002,0.001
39,39,0.001,200,0.004,0.003
40,40,0.002,200,0.004,0.002
