,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0.006,0,0.009000000000000001,0.003
1,1,1,0.019,0,0.02,0.001
2,2,2,0.004,5,0.006,0.002
3,3,3,0.002,10,0.007,0.005
4,4,4,0.001,15,0.006,0.005
5,5,5,0.005,20,0.006,0.001
6,6,6,0.002,25,0.005,0.003
7,7,7,0.004,30,0.031000000000000003,0.027000000000000003
8,8,8,0.023,35,0.024,0.001
9,9,9,0.001,40,0.004,0.003
10,10,10,0.004,45,0.011,0.006999999999999999
11,11,11,0.002,50,0.006,0.004
12,12,12,0.013,55,0.013999999999999999,0.001
13,13,13,0.005,60,0.006,0.001
14,14,14,0.014,65,0.015,0.001
15,15,15,0.006999999999999999,70,0.011,0.004
16,16,16,0.001,75,0.002,0.001
17,17,17,0.001,80,0.002,0.001
18,18,18,0.001,85,0.002,0.001
19,19,19,0.001,90,0.002,0.001
20,20,20,0.001,95,0.002,0.001
21,21,21,0.001,100,0.009000000000000001,0.008
22,22,22,0.001,105,0.002,0.001
23,23,23,0.001,110,0.002,0.001
24,24,24,0.001,115,0.002,0.001
25,25,25,0.001,120,0.002,0.001
26,26,26,0.013,125,0.013999999999999999,0.001
27,27,27,0.001,130,0.002,0.001
28,28,28,0.001,135,0.002,0.001
29,29,29,0.001,140,0.002,0.001
30,30,30,0.001,145,0.002,0.001
31,31,31,0.001,150,0.002,0.001
32,32,32,0.001,155,0.002,0.001
33,33,33,0.009000000000000001,165,0.010000000000000002,0.001
34,34,34,0.001,170,0.002,0.001
35,35,35,0.001,175,0.002,0.001
36,36,36,0.001,180,0.002,0.001
37,37,37,0.001,185,0.002,0.001
38,38,38,0.001,190,0.002,0.001
39,39,39,0.001,190,0.004,0.003
40,40,40,0.006999999999999999,200,0.009,0.002
