,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.001,0,0.010000000000000002,0.009000000000000001
1,1,0.006999999999999999,0,0.027,0.02
2,2,0.001,5,0.007,0.006
3,3,0.002,10,0.009000000000000001,0.007
4,4,0.017,15,0.023,0.006
5,5,0.001,20,0.007,0.006
6,6,0.001,25,0.006,0.005
7,7,0.001,30,0.032,0.031000000000000003
8,8,0.001,35,0.025,0.024
9,9,0.001,40,0.005,0.004
10,10,0.001,50,0.012,0.011
11,11,0.008,50,0.014,0.006
12,12,0.001,55,0.015,0.013999999999999999
13,13,0.019,60,0.025,0.006
14,14,0.005,65,0.02,0.015
15,15,0.001,70,0.012,0.011
16,16,0.001,75,0.003,0.002
17,17,0.001,80,0.003,0.002
18,18,0.001,85,0.003,0.002
19,19,0.001,90,0.003,0.002
20,20,0.001,95,0.003,0.002
21,21,0.001,100,0.010000000000000002,0.009000000000000001
22,22,0.001,105,0.003,0.002
23,23,0.001,110,0.003,0.002
24,24,0.001,115,0.003,0.002
25,25,0.001,120,0.003,0.002
26,26,0.001,125,0.015,0.013999999999999999
27,27,0.001,130,0.003,0.002
28,28,0.001,140,0.003,0.002
29,29,0.001,140,0.003,0.002
30,30,0.001,145,0.003,0.002
31,31,0.001,150,0.003,0.002
32,32,0.001,160,0.003,0.002
33,33,0.001,160,0.011000000000000003,0.010000000000000002
34,34,0.001,165,0.003,0.002
35,35,0.001,170,0.003,0.002
36,36,0.001,175,0.003,0.002
37,37,0.001,180,0.003,0.002
38,38,0.001,185,0.003,0.002
39,39,0.001,190,0.005,0.004
40,40,0.001,195,0.009999999999999998,0.009
