,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0.002,0,0.015000000000000001,0.013000000000000001
1,1,1,0.001,5,0.053000000000000005,0.052000000000000005
2,2,2,0.003,10,0.013000000000000001,0.010000000000000002
3,3,3,0.005,15,0.011,0.006
4,4,4,0.001,20,0.011,0.01
5,5,5,0.001,25,0.032,0.031
6,6,6,0.003,30,0.01,0.007
7,7,7,0.009000000000000001,35,0.035,0.026
8,8,8,0.003,40,0.035,0.032
9,9,9,0.016,45,0.025,0.009000000000000001
10,10,10,0.018000000000000002,50,0.035,0.017
11,11,11,0.001,55,0.017,0.016
12,12,12,0.001,60,0.010000000000000002,0.009000000000000001
13,13,13,0.001,65,0.008,0.007
14,14,14,0.009000000000000001,70,0.03,0.020999999999999998
15,15,15,0.001,75,0.038000000000000006,0.037000000000000005
16,16,16,0.001,80,0.004,0.003
17,17,17,0.002,85,0.006,0.004
18,18,18,0.001,90,0.005,0.004
19,19,19,0.002,95,0.007,0.005
20,20,20,0.001,100,0.004,0.003
21,21,21,0.001,105,0.006,0.005
22,22,22,0.002,110,0.032,0.030000000000000002
23,23,23,0.001,115,0.004,0.003
24,24,24,0.001,120,0.004,0.003
25,25,25,0.001,125,0.004,0.003
26,26,26,0.006999999999999999,130,0.019,0.012
27,27,27,0.001,135,0.004,0.003
28,28,28,0.001,140,0.004,0.003
29,29,29,0.008,145,0.019000000000000003,0.011000000000000001
30,30,30,0.001,150,0.007,0.006
31,31,31,0.001,155,0.015,0.013999999999999999
32,32,32,0.001,160,0.004,0.003
33,33,33,0.006,165,0.05,0.044000000000000004
34,34,34,0.001,170,0.005,0.004
35,35,35,0.001,175,0.007,0.006
36,36,36,0.001,180,0.005,0.004
37,37,37,0.001,185,0.005,0.004
38,38,38,0.001,190,0.043,0.041999999999999996
39,39,39,0.001,195,0.013999999999999999,0.013
40,40,40,0.001,200,0.006,0.005
