,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0.001,0,0.014000000000000002,0.013000000000000001
1,1,1,0.002,5,0.054000000000000006,0.052000000000000005
2,2,2,0.001,10,0.011000000000000003,0.010000000000000002
3,3,3,0.018000000000000002,15,0.024,0.006
4,4,4,0.003,20,0.013000000000000001,0.01
5,5,5,0.002,25,0.033,0.031
6,6,6,0.01,30,0.017,0.007
7,7,7,0.008,35,0.034,0.026
8,8,8,0.009000000000000001,40,0.041,0.032
9,9,9,0.006,45,0.015000000000000001,0.009000000000000001
10,10,10,0.005,50,0.022000000000000002,0.017
11,11,11,0.001,55,0.017,0.016
12,12,12,0.02,60,0.029,0.009000000000000001
13,13,13,0.001,65,0.008,0.007
14,14,14,0.002,70,0.023,0.020999999999999998
15,15,15,0.013,75,0.05,0.037000000000000005
16,16,16,0.001,80,0.004,0.003
17,17,17,0.002,85,0.006,0.004
18,18,18,0.002,90,0.006,0.004
19,19,19,0.002,95,0.007,0.005
20,20,20,0.002,100,0.005,0.003
21,21,21,0.001,105,0.006,0.005
22,22,22,0.001,110,0.031000000000000003,0.030000000000000002
23,23,23,0.001,115,0.004,0.003
24,24,24,0.001,120,0.004,0.003
25,25,25,0.002,125,0.005,0.003
26,26,26,0.001,130,0.013000000000000001,0.012
27,27,27,0.002,135,0.005,0.003
28,28,28,0.002,140,0.005,0.003
29,29,29,0.001,145,0.012,0.011000000000000001
30,30,30,0.002,150,0.008,0.006
31,31,31,0.001,155,0.015,0.013999999999999999
32,32,32,0.001,160,0.004,0.003
33,33,33,0.001,165,0.045000000000000005,0.044000000000000004
34,34,34,0.001,170,0.005,0.004
35,35,35,0.001,175,0.007,0.006
36,36,36,0.002,180,0.006,0.004
37,37,37,0.001,185,0.005,0.004
38,38,38,0.001,190,0.043,0.041999999999999996
39,39,39,0.001,195,0.013999999999999999,0.013
40,40,40,0.002,200,0.007,0.005
