,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.001,0,0.038000000000000006,0.037000000000000005
1,1,0.001,0,0.002,0.001
2,2,0.02,10,0.021,0.001
3,3,0.001,15,0.002,0.001
4,4,0.001,20,0.002,0.001
5,5,0.001,25,0.022000000000000002,0.021
6,6,0.045,30,0.046,0.001
7,7,0.011000000000000001,30,0.020000000000000004,0.009000000000000001
8,8,0.002,35,0.014,0.012
9,9,0.002,40,0.003,0.001
10,10,0.003,45,0.005,0.002
11,11,0.002,55,0.004,0.002
12,12,0.006,55,0.068,0.062
13,13,0.001,65,0.045000000000000005,0.044000000000000004
14,14,0.01,65,0.06599999999999999,0.055999999999999994
15,15,0.002,75,0.012,0.01
16,16,0.001,80,0.07,0.069
17,17,0.013000000000000001,85,0.028,0.015
18,18,0.001,90,0.027000000000000003,0.026000000000000002
19,19,0.026000000000000002,90,0.038000000000000006,0.012
20,20,0.011000000000000001,100,0.012,0.001
21,21,0.001,105,0.037000000000000005,0.036000000000000004
22,22,0.011000000000000001,105,0.019000000000000003,0.008
23,23,0.001,110,0.002,0.001
24,24,0.001,120,0.002,0.001
25,25,0.006,125,0.008,0.002
26,26,0.008,125,0.011,0.003
27,27,0.008,130,0.034,0.026000000000000002
28,28,0.025,135,0.034,0.009000000000000001
29,29,0.027999999999999997,145,0.06,0.032
30,30,0.015,150,0.018,0.003
31,31,0.023,150,0.024,0.001
32,32,0.016,160,0.025,0.009000000000000001
33,33,0.011000000000000001,160,0.061000000000000006,0.05
34,34,0.02,170,0.021,0.001
35,35,0.013000000000000001,175,0.015000000000000001,0.002
36,36,0.001,175,0.003,0.002
37,37,0.022000000000000002,180,0.04000000000000001,0.018000000000000002
38,38,0.011000000000000001,185,0.019000000000000003,0.008
39,39,0.001,195,0.007,0.006
40,40,0.017,200,0.030000000000000002,0.013000000000000001
41,41,0.001,200,0.008,0.006999999999999999
42,42,0.012,210,0.028,0.016
43,43,0.002,210,0.009,0.006999999999999999
44,44,0.017,215,0.044000000000000004,0.027000000000000003
45,45,0.001,220,0.002,0.001
46,46,0.003,225,0.004,0.001
47,47,0.001,230,0.002,0.001
48,48,0.028999999999999998,235,0.03,0.001
49,49,0.001,240,0.002,0.001
50,50,0.015,245,0.016,0.001
51,51,0.001,250,0.010000000000000002,0.009000000000000001
52,52,0.001,255,0.003,0.002
53,53,0.001,265,0.002,0.001
54,54,0.001,265,0.002,0.001
55,55,0.001,270,0.05500000000000001,0.054000000000000006
56,56,0.001,275,0.002,0.001
57,57,0.006999999999999999,280,0.011,0.004
58,58,0.001,285,0.002,0.001
59,59,0.002,295,0.003,0.001
60,60,0.001,295,0.002,0.001
61,61,0.001,300,0.049,0.048
62,62,0.001,305,0.002,0.001
63,63,0.001,315,0.002,0.001
64,64,0.001,315,0.002,0.001
65,65,0.001,325,0.002,0.001
66,66,0.005,325,0.006,0.001
67,67,0.001,330,0.002,0.001
68,68,0.001,340,0.002,0.001
69,69,0.001,340,0.002,0.001
70,70,0.024,350,0.025,0.001
71,71,0.001,355,0.002,0.001
72,72,0.001,355,0.002,0.001
73,73,0.001,365,0.002,0.001
74,74,0.001,365,0.002,0.001
75,75,0.001,370,0.002,0.001
76,76,0.002,375,0.003,0.001
77,77,0.001,380,0.002,0.001
78,78,0.011000000000000001,390,0.012,0.001
79,79,0.001,395,0.002,0.001
80,80,0.001,400,0.002,0.001
81,81,0.001,405,0.002,0.001
82,82,0.001,410,0.002,0.001
83,83,0.003,410,0.004,0.001
84,84,0.005,420,0.006,0.001
85,85,0.001,420,0.002,0.001
86,86,0.001,425,0.002,0.001
87,87,0.001,435,0.002,0.001
88,88,0.001,440,0.002,0.001
89,89,0.002,445,0.015000000000000001,0.013000000000000001
90,90,0.001,450,0.002,0.001
91,91,0.002,450,0.012,0.01
92,92,0.001,460,0.002,0.001
93,93,0.001,465,0.002,0.001
94,94,0.001,465,0.016,0.015
95,95,0.001,470,0.007,0.006
96,96,0.001,480,0.003,0.002
97,97,0.001,480,0.002,0.001
98,98,0.001,485,0.002,0.001
99,99,0.001,490,0.002,0.001
100,100,0.001,495,0.002,0.001
101,101,0.002,505,0.003,0.001
102,102,0.006,505,0.007,0.001
103,103,0.001,510,0.028999999999999998,0.027999999999999997
104,104,0.004,515,0.005,0.001
105,105,0.001,525,0.002,0.001
106,106,0.001,530,0.002,0.001
107,107,0.001,530,0.002,0.001
108,108,0.001,535,0.002,0.001
109,109,0.001,545,0.002,0.001
110,110,0.018000000000000002,550,0.022000000000000002,0.004
111,111,0.001,550,0.002,0.001
112,112,0.001,560,0.002,0.001
113,113,0.001,560,0.012,0.011000000000000001
114,114,0.001,570,0.002,0.001
115,115,0.001,575,0.002,0.001
116,116,0.001,580,0.002,0.001
117,117,0.002,580,0.003,0.001
118,118,0.001,585,0.002,0.001
119,119,0.001,595,0.002,0.001
120,120,0.001,595,0.002,0.001
121,121,0.019,600,0.02,0.001
122,122,0.001,610,0.005,0.004
123,123,0.004,610,0.005,0.001
124,124,0.001,615,0.002,0.001
125,125,0.001,625,0.041,0.04
126,126,0.001,630,0.002,0.001
127,127,0.001,635,0.002,0.001
128,128,0.004,635,0.005,0.001
129,129,0.001,640,0.002,0.001
130,130,0.001,645,0.002,0.001
131,131,0.001,650,0.002,0.001
132,132,0.001,660,0.002,0.001
133,133,0.002,665,0.003,0.001
134,134,0.028999999999999998,665,0.03,0.001
135,135,0.001,675,0.002,0.001
136,136,0.001,680,0.002,0.001
137,137,0.001,680,0.002,0.001
138,138,0.005,685,0.006,0.001
139,139,0.002,690,0.003,0.001
140,140,0.002,700,0.003,0.001
141,141,0.006999999999999999,705,0.008,0.001
142,142,0.001,705,0.004,0.003
143,143,0.001,715,0.002,0.001
144,144,0.001,715,0.025,0.024
145,145,0.001,725,0.002,0.001
146,146,0.001,725,0.018000000000000002,0.017
147,147,0.001,730,0.017,0.016
148,148,0.001,735,0.028000000000000004,0.027000000000000003
149,149,0.001,740,0.002,0.001
150,150,0.001,745,0.006,0.005
151,151,0.001,755,0.002,0.001
152,152,0.001,760,0.002,0.001
153,153,0.005,765,0.006,0.001
154,154,0.001,765,0.002,0.001
155,155,0.001,770,0.002,0.001
156,156,0.001,780,0.002,0.001
157,157,0.001,780,0.002,0.001
158,158,0.001,790,0.002,0.001
159,159,0.002,790,0.014,0.012
160,160,0.001,800,0.002,0.001
161,161,0.001,805,0.007,0.006
162,162,0.001,805,0.002,0.001
163,163,0.022000000000000002,810,0.023000000000000003,0.001
164,164,0.006,815,0.007,0.001
165,165,0.001,825,0.002,0.001
166,166,0.001,825,0.024,0.023
167,167,0.001,835,0.007,0.006
168,168,0.001,835,0.002,0.001
169,169,0.001,845,0.002,0.001
170,170,0.001,850,0.002,0.001
171,171,0.001,855,0.002,0.001
172,172,0.001,860,0.003,0.002
173,173,0.001,860,0.003,0.002
174,174,0.001,870,0.002,0.001
175,175,0.001,875,0.048,0.047
176,176,0.015,875,0.016,0.001
177,177,0.002,880,0.003,0.001
178,178,0.001,885,0.002,0.001
179,179,0.001,890,0.002,0.001
180,180,0.001,895,0.002,0.001
181,181,0.001,900,0.002,0.001
182,182,0.001,905,0.002,0.001
183,183,0.015,915,0.016,0.001
184,184,0.001,920,0.002,0.001
185,185,0.023,920,0.024,0.001
186,186,0.001,925,0.002,0.001
187,187,0.001,930,0.003,0.002
188,188,0.001,935,0.002,0.001
189,189,0.001,940,0.003,0.002
190,190,0.031,945,0.033,0.002
191,191,0.001,955,0.011,0.01
192,192,0.001,955,0.002,0.001
193,193,0.001,960,0.008,0.006999999999999999
194,194,0.002,970,0.003,0.001
195,195,0.001,975,0.016,0.015
196,196,0.001,975,0.007,0.006
197,197,0.001,985,0.002,0.001
198,198,0.001,985,0.018000000000000002,0.017
199,199,0.001,990,0.002,0.001
200,200,0.001,1000,0.002,0.001
201,201,0.001,1000,0.002,0.001
202,202,0.001,1005,0.002,0.001
203,203,0.001,1010,0.002,0.001
204,204,0.001,1020,0.002,0.001
205,205,0.001,1020,0.002,0.001
206,206,0.001,1030,0.003,0.002
207,207,0.01,1030,0.011,0.001
208,208,0.001,1035,0.009000000000000001,0.008
209,209,0.001,1040,0.002,0.001
210,210,0.001,1045,0.002,0.001
211,211,0.001,1055,0.002,0.001
212,212,0.001,1055,0.016,0.015
213,213,0.001,1060,0.010000000000000002,0.009000000000000001
214,214,0.008,1065,0.042,0.034
215,215,0.001,1075,0.009000000000000001,0.008
216,216,0.001,1080,0.002,0.001
217,217,0.001,1085,0.024,0.023
218,218,0.001,1085,0.002,0.001
219,219,0.001,1095,0.002,0.001
220,220,0.001,1095,0.002,0.001
