,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0.002,0,0.004,0.002
1,1,1,0.001,0,0.003,0.002
2,2,2,0.001,10,0.003,0.002
3,3,3,0.001,10,0.003,0.002
4,4,4,0.021,15,0.023,0.002
5,5,5,0.002,20,0.004,0.002
6,6,6,0.001,30,0.037000000000000005,0.036000000000000004
7,7,7,0.003,30,0.03900000000000001,0.036000000000000004
8,8,8,0.006,40,0.017,0.011
9,9,9,0.003,45,0.022000000000000002,0.019000000000000003
10,10,10,0.003,45,0.009000000000000001,0.006
11,11,11,0.006999999999999999,55,0.009,0.002
12,12,12,0.017,55,0.10400000000000001,0.08700000000000001
13,13,13,0.014,65,0.025,0.011
14,14,14,0.003,70,0.06,0.056999999999999995
15,15,15,0.003,75,0.025,0.022000000000000002
16,16,16,0.04,80,0.051000000000000004,0.011
17,17,17,0.002,85,0.014,0.012
18,18,18,0.019,90,0.03900000000000001,0.020000000000000004
19,19,19,0.029,90,0.042,0.013000000000000001
20,20,20,0.001,95,0.007,0.006
21,21,21,0.002,100,0.006,0.004
22,22,22,0.001,110,0.013000000000000001,0.012
23,23,23,0.019,115,0.036000000000000004,0.017
24,24,24,0.001,115,0.028000000000000004,0.027000000000000003
25,25,25,0.003,120,0.005,0.002
26,26,26,0.01,130,0.06699999999999999,0.056999999999999995
27,27,27,0.016,130,0.031,0.015
28,28,28,0.012,135,0.037000000000000005,0.025
29,29,29,0.018000000000000002,145,0.025,0.007
30,30,30,0.001,145,0.021,0.02
31,31,31,0.005,150,0.026000000000000002,0.021
32,32,32,0.025,160,0.035,0.010000000000000002
33,33,33,0.018000000000000002,160,0.032,0.014
34,34,34,0.003,165,0.009000000000000001,0.006
35,35,35,0.001,175,0.007,0.006
36,36,36,0.001,175,0.003,0.002
37,37,37,0.011,185,0.068,0.05700000000000001
38,38,38,0.001,185,0.006,0.005
39,39,39,0.001,195,0.009999999999999998,0.009
40,40,40,0.006,195,0.023,0.017
41,41,41,0.003,200,0.012,0.009
42,42,42,0.001,205,0.012,0.011000000000000001
43,43,43,0.001,215,0.007,0.006
44,44,44,0.004,215,0.037000000000000005,0.033
45,45,45,0.009000000000000001,220,0.011000000000000001,0.002
46,46,46,0.001,230,0.003,0.002
47,47,47,0.001,230,0.003,0.002
48,48,48,0.001,240,0.003,0.002
49,49,49,0.002,245,0.004,0.002
50,50,50,0.001,250,0.003,0.002
51,51,51,0.001,255,0.003,0.002
52,52,52,0.001,255,0.003,0.002
53,53,53,0.001,265,0.003,0.002
54,54,54,0.001,265,0.003,0.002
55,55,55,0.001,275,0.003,0.002
56,56,56,0.001,275,0.007,0.006
57,57,57,0.001,280,0.003,0.002
58,58,58,0.001,290,0.003,0.002
59,59,59,0.005,290,0.013000000000000001,0.008
60,60,60,0.001,295,0.003,0.002
61,61,61,0.001,300,0.003,0.002
62,62,62,0.001,305,0.003,0.002
63,63,63,0.001,310,0.003,0.002
64,64,64,0.001,320,0.003,0.002
65,65,65,0.002,320,0.004,0.002
66,66,66,0.002,330,0.004,0.002
