,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.001,0,0.001,0
1,1,0.001,5,0.001,0
2,2,0.012,10,0.012,0
3,3,0.001,15,0.001,0
4,4,0.002,20,0.002,0
5,5,0.001,25,0.001,0
6,6,0.001,30,0.001,0
7,7,0.001,35,0.001,0
8,8,0.001,40,0.001,0
9,9,0.002,45,0.002,0
10,10,0.013000000000000001,50,0.013000000000000001,0
11,11,0.001,55,0.001,0
12,12,0.001,60,0.001,0
13,13,0.002,65,0.002,0
14,14,0.001,70,0.001,0
15,15,0.01,75,0.01,0
16,16,0.001,80,0.001,0
17,17,0.001,85,0.001,0
18,18,0.004,90,0.004,0
19,19,0.001,95,0.001,0
20,20,0.002,100,0.002,0
21,21,0.001,105,0.001,0
22,22,0.001,110,0.001,0
23,23,0.011000000000000001,115,0.011000000000000001,0
24,24,0.001,120,0.001,0
25,25,0.002,120,0.002,0
26,26,0.001,130,0.001,0
27,27,0.001,135,0.001,0
28,28,0.001,140,0.001,0
29,29,0.002,145,0.002,0
30,30,0.005,150,0.005,0
31,31,0.004,155,0.004,0
32,32,0.001,160,0.001,0
33,33,0.001,165,0.001,0
34,34,0.001,170,0.001,0
35,35,0.001,175,0.001,0
36,36,0.001,180,0.001,0
37,37,0.001,185,0.001,0
38,38,0.003,190,0.003,0
39,39,0.001,195,0.001,0
40,40,0.001,200,0.001,0
41,41,0.002,205,0.002,0
42,42,0.002,210,0.002,0
43,43,0.004,215,0.004,0
44,44,0.001,220,0.001,0
45,45,0.002,225,0.002,0
46,46,0.003,230,0.003,0
47,47,0.001,235,0.001,0
48,48,0.001,240,0.001,0
49,49,0.001,245,0.001,0
50,50,0.002,250,0.002,0
