,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.001,0,0.001,0
1,1,0.001,5,0.001,0
2,2,0.002,10,0.002,0
3,3,0.002,15,0.002,0
4,4,0.002,20,0.002,0
5,5,0.002,25,0.002,0
6,6,0.002,30,0.002,0
7,7,0.001,35,0.001,0
8,8,0.001,40,0.001,0
9,9,0.002,45,0.002,0
10,10,0.001,50,0.001,0
11,11,0.004,55,0.004,0
12,12,0.01,60,0.01,0
13,13,0.01,65,0.01,0
14,14,0.001,70,0.001,0
15,15,0.001,70,0.001,0
16,16,0.004,80,0.004,0
17,17,0.016,85,0.016,0
18,18,0.002,90,0.002,0
19,19,0.003,95,0.003,0
20,20,0.001,100,0.001,0
21,21,0.002,105,0.002,0
22,22,0.008,110,0.008,0
23,23,0.002,115,0.002,0
24,24,0.023,120,0.023,0
25,25,0.005,125,0.005,0
26,26,0.001,130,0.001,0
27,27,0.001,135,0.001,0
28,28,0.002,140,0.002,0
29,29,0.001,145,0.001,0
30,30,0.001,150,0.001,0
31,31,0.004,155,0.004,0
32,32,0.001,155,0.001,0
33,33,0.001,165,0.001,0
34,34,0.02,170,0.02,0
35,35,0.005,175,0.005,0
36,36,0.016,180,0.016,0
37,37,0.001,180,0.001,0
38,38,0.004,190,0.004,0
39,39,0.001,195,0.001,0
40,40,0.003,195,0.003,0
41,41,0.008,205,0.008,0
42,42,0.004,210,0.004,0
43,43,0.001,215,0.001,0
44,44,0.001,220,0.001,0
45,45,0.017,225,0.017,0
46,46,0.004,230,0.004,0
47,47,0.008,235,0.008,0
48,48,0.001,240,0.001,0
49,49,0.002,245,0.002,0
50,50,0.002,250,0.002,0
