,RTT,Timestamp
0,0.001,0
1,0.002,5
2,0.002,10
3,0.001,15
4,0.001,20
5,0.005,25
6,0.001,30
7,0.002,35
8,0.001,40
9,0.003,45
10,0.001,50
11,0.004,55
12,0.001,60
13,0.002,65
14,0.001,70
15,0.001,75
16,0.002,80
17,0.001,85
18,0.002,90
19,0.018,95
20,0.001,100
21,0.001,105
22,0.004,110
23,0.009,115
24,0.001,120
25,0.003,125
26,0.011,130
27,0.001,135
28,0.013,140
29,0.003,145
30,0.002,150
31,0.009,155
32,0.006,160
33,0.004,165
34,0.004,170
35,0.009,175
36,0.002,180
37,0.003,185
38,0.008,190
39,0.001,195
40,0.024,200
41,0.001,205
42,0.002,210
43,0.003,215
44,0.002,220
45,0.001,225
46,0.004,230
47,0.017,235
48,0.002,240
49,0.001,245
50,0.002,250
