,RTT,Timestamp
0,0.001,0
1,0.002,5
2,0.001,10
3,0.001,15
4,0.001,20
5,0.001,25
6,0.008,30
7,0.001,35
8,0.001,40
9,0.003,45
10,0.001,50
11,0.001,55
12,0.001,60
13,0.002,65
14,0.001,70
15,0.001,75
16,0.004,80
17,0.011,85
18,0.001,90
19,0.003,95
20,0.006,100
21,0.001,105
22,0.002,110
23,0.008,115
24,0.002,120
25,0.003,125
26,0.001,130
27,0.001,135
28,0.001,140
29,0.001,145
30,0.008,150
31,0.01,155
32,0.001,160
33,0.001,165
34,0.012,170
35,0.001,175
36,0.003,180
37,0.008,185
38,0.003,190
39,0.001,195
40,0.014,200
41,0.001,205
42,0.005,205
43,0.001,215
44,0.02,220
45,0.002,225
46,0.002,230
47,0.001,235
48,0.001,240
49,0.001,245
50,0.001,250
