,RTT,Timestamp
0,0.001,0
1,0.001,5
2,0.002,10
3,0.002,15
4,0.001,20
5,0.001,25
6,0.001,30
7,0.002,35
8,0.001,40
9,0.004,45
10,0.016,50
11,0.005,55
12,0.002,60
13,0.001,65
14,0.002,70
15,0.002,75
16,0.027,80
17,0.001,85
18,0.001,90
19,0.024,95
20,0.006,100
21,0.004,105
22,0.036,110
23,0.004,115
24,0.007,120
25,0.001,125
26,0.002,130
27,0.001,135
28,0.001,140
29,0.002,145
30,0.002,150
31,0.001,155
32,0.006,160
33,0.002,165
34,0.003,170
35,0.005,175
36,0.002,180
37,0.004,185
38,0.001,190
39,0.005,195
40,0.001,200
41,0.001,205
42,0.001,210
43,0.004,215
44,0.001,220
45,0.008,225
46,0.001,230
47,0.001,235
48,0.001,240
49,0.001,245
50,0.001,250
