,RTT,Timestamp
0,0.002,0
1,0.002,5
2,0.001,10
3,0.002,15
4,0.001,20
5,0.001,25
6,0.002,30
7,0.001,35
8,0.002,40
9,0.002,45
10,0.001,50
11,0.001,55
12,0.002,60
13,0.001,65
14,0.004,70
15,0.001,75
16,0.002,80
17,0.005,85
18,0.005,90
19,0.001,95
20,0.016,100
21,0.001,105
22,0.018,110
23,0.004,115
24,0.001,120
25,0.001,125
26,0.003,130
27,0.001,135
28,0.002,140
29,0.005,145
30,0.008,150
31,0.016,155
32,0.006,160
33,0.007,165
34,0.001,170
35,0.001,175
36,0.001,180
37,0.023,185
38,0.007,190
39,0.015,195
40,0.004,200
41,0.007,205
42,0.001,210
43,0.017,215
44,0.007,220
45,0.001,225
46,0.001,230
47,0.001,235
48,0.002,240
49,0.001,245
50,0.001,250
