,RTT,Timestamp
0,0.085,0
1,0.087,5
2,0.087,10
3,0.088,15
4,0.09,20
5,0.087,25
6,0.086,30
7,0.081,35
8,0.087,40
9,0.085,45
10,0.087,50
11,0.111,55
12,0.085,60
13,0.09,65
14,0.082,70
15,0.092,75
16,0.084,80
17,0.091,85
18,0.086,90
19,0.09,95
20,0.089,100
21,0.087,105
22,0.086,110
23,0.096,115
24,0.086,120
25,0.092,125
26,0.101,130
27,0.1,135
28,0.099,140
29,0.096,145
30,0.084,150
31,0.087,155
32,0.083,160
33,0.085,165
34,0.089,170
35,0.083,175
36,0.082,180
37,0.083,185
38,0.084,190
39,0.092,195
40,0.097,200
41,0.084,205
42,0.088,210
43,0.101,215
44,0.096,220
45,0.089,225
46,0.084,230
47,0.084,235
48,0.088,240
49,0.086,245
50,0.087,250
