,RTT,Timestamp
0,0.001,0
1,0.001,5
2,0.001,10
3,0.001,15
4,0.001,20
5,0.001,25
6,0.001,30
7,0.001,35
8,0.001,40
9,0.001,45
10,0.001,50
11,0.001,55
12,0.001,60
13,0.001,65
14,0.001,70
15,0.001,75
16,0.009,80
17,0.001,85
18,0.001,90
19,0.001,95
20,0.001,100
21,0.014,105
22,0.001,110
23,0.001,115
24,0.001,120
25,0.001,125
26,0.001,130
27,0.001,135
28,0.001,140
29,0.001,145
30,0.001,150
31,0.002,155
32,0.001,160
33,0.001,165
34,0.001,170
35,0.001,175
36,0.011,180
37,0.001,185
38,0.001,190
39,0.001,195
40,0.002,200
41,0.002,205
42,0.002,210
43,0.001,215
44,0.001,220
45,0.001,225
46,0.001,230
47,0.001,235
48,0.001,240
49,0.001,245
50,0.001,250
