,Unnamed: 0,RTT,Timestamp,New-RTT,Old-RTT
0,0,0.001,0,0.002,0.001
1,1,0.003,5,0.004,0.001
2,2,0.001,10,0.003,0.002
3,3,0.001,15,0.003,0.002
4,4,0.001,20,0.003,0.002
5,5,0.001,25,0.003,0.002
6,6,0.001,30,0.003,0.002
7,7,0.001,35,0.002,0.001
8,8,0.002,40,0.003,0.001
9,9,0.001,45,0.003,0.002
10,10,0.003,50,0.004,0.001
11,11,0.003,55,0.007,0.004
12,12,0.001,60,0.011,0.01
13,13,0.002,65,0.012,0.01
14,14,0.001,70,0.002,0.001
15,15,0.001,75,0.002,0.001
16,16,0.002,80,0.006,0.004
17,17,0.001,85,0.017,0.016
18,18,0.001,90,0.003,0.002
19,19,0.002,95,0.005,0.003
20,20,0.001,100,0.002,0.001
21,21,0.006,105,0.008,0.002
22,22,0.002,110,0.01,0.008
23,23,0.001,115,0.003,0.002
24,24,0.001,120,0.024,0.023
25,25,0.001,125,0.006,0.005
26,26,0.001,130,0.002,0.001
27,27,0.001,135,0.002,0.001
28,28,0.001,140,0.003,0.002
29,29,0.001,145,0.002,0.001
30,30,0.001,150,0.002,0.001
31,31,0.001,155,0.005,0.004
32,32,0.001,160,0.002,0.001
33,33,0.001,165,0.002,0.001
34,34,0.001,170,0.021,0.02
35,35,0.004,175,0.009000000000000001,0.005
36,36,0.001,180,0.017,0.016
37,37,0.001,185,0.002,0.001
38,38,0.002,190,0.006,0.004
39,39,0.001,195,0.002,0.001
40,40,0.003,200,0.006,0.003
41,41,0.005,205,0.013000000000000001,0.008
42,42,0.001,210,0.005,0.004
43,43,0.002,215,0.003,0.001
44,44,0.001,220,0.002,0.001
45,45,0.001,225,0.018000000000000002,0.017
46,46,0.006,230,0.01,0.004
47,47,0.001,235,0.009000000000000001,0.008
48,48,0.001,240,0.002,0.001
49,49,0.001,245,0.003,0.002
50,50,0.002,250,0.004,0.002
